Freq.	V(vout)
4.46683592150961e+001	(6.99388100048041e-004dB,-1.03172334948592e-001°)
4.57088189614873e+001	(7.39148318664189e-004dB,-1.05576012108570e-001°)
4.67735141287196e+001	(7.80782567213066e-004dB,-1.08035712776500e-001°)
4.78630092322636e+001	(8.24379184186013e-004dB,-1.10552744388018e-001°)
4.89778819368444e+001	(8.70030673113473e-004dB,-1.13128445010294e-001°)
5.01187233627270e+001	(9.17833898990720e-004dB,-1.15764184068281e-001°)
5.12861383991362e+001	(9.67890294049690e-004dB,-1.18461363088711e-001°)
5.24807460249770e+001	(1.02030607317269e-003dB,-1.21221416462456e-001°)
5.37031796370250e+001	(1.07519245955390e-003dB,-1.24045812225632e-001°)
5.49540873857622e+001	(1.13266592093088e-003dB,-1.26936052860068e-001°)
5.62341325190346e+001	(1.19284841706446e-003dB,-1.29893676113601e-001°)
5.75439937337154e+001	(1.25586765885408e-003dB,-1.32920255840735e-001°)
5.88843655355586e+001	(1.32185737967937e-003dB,-1.36017402864315e-001°)
6.02559586074355e+001	(1.39095761961047e-003dB,-1.39186765858723e-001°)
6.16595001861479e+001	(1.46331502301531e-003dB,-1.42430032255188e-001°)
6.30957344480190e+001	(1.53908315023209e-003dB,-1.45748929169956e-001°)
6.45654229034652e+001	(1.61842280398634e-003dB,-1.49145224355838e-001°)
6.60693448007593e+001	(1.70150237120220e-003dB,-1.52620727177897e-001°)
6.76082975391978e+001	(1.78849818101485e-003dB,-1.56177289613947e-001°)
6.91830970918933e+001	(1.87959487969968e-003dB,-1.59816807280583e-001°)
7.07945784384134e+001	(1.97498582330612e-003dB,-1.63541220485514e-001°)
7.24435960074986e+001	(2.07487348886388e-003dB,-1.67352515307010e-001°)
7.41310241300914e+001	(2.17946990509390e-003dB,-1.71252724701156e-001°)
7.58577575029180e+001	(2.28899710340869e-003dB,-1.75243929637999e-001°)
7.76247116628688e+001	(2.40368759034169e-003dB,-1.79328260267164e-001°)
7.94328234724277e+001	(2.52378484226091e-003dB,-1.83507897114126e-001°)
8.12830516164095e+001	(2.64954382355748e-003dB,-1.87785072307931e-001°)
8.31763771102667e+001	(2.78123152932847e-003dB,-1.92162070841435e-001°)
8.51138038202372e+001	(2.91912755381633e-003dB,-1.96641231865059e-001°)
8.70963589956076e+001	(3.06352468565491e-003dB,-2.01224950015194e-001°)
8.91250938133741e+001	(3.21472953149797e-003dB,-2.05915676778234e-001°)
9.12010839355905e+001	(3.37306316902902e-003dB,-2.10715921891761e-001°)
9.33254300796986e+001	(3.53886183104064e-003dB,-2.15628254783565e-001°)
9.54992586021431e+001	(3.71247762187698e-003dB,-2.20655306050424e-001°)
9.77237220955805e+001	(3.89427926791727e-003dB,-2.25799768977426e-001°)
9.99999999999995e+001	(4.08465290363757e-003dB,-2.31064401099574e-001°)
1.02329299228075e+002	(4.28400289496504e-003dB,-2.36452025807060e-001°)
1.04712854805089e+002	(4.49275270174278e-003dB,-2.41965533995724e-001°)
1.07151930523760e+002	(4.71134578113337e-003dB,-2.47607885764324e-001°)
1.09647819614318e+002	(4.94024653399640e-003dB,-2.53382112160327e-001°)
1.12201845430196e+002	(5.17994129614933e-003dB,-2.59291316975960e-001°)
1.14815362149688e+002	(5.43093937683148e-003dB,-2.65338678596535e-001°)
1.17489755493952e+002	(5.69377414654445e-003dB,-2.71527451902743e-001°)
1.20226443461741e+002	(5.96900417666060e-003dB,-2.77860970229169e-001°)
1.23026877081237e+002	(6.25721443324951e-003dB,-2.84342647381234e-001°)
1.25892541179416e+002	(6.55901752780825e-003dB,-2.90975979712695e-001°)
1.28824955169313e+002	(6.87505502756866e-003dB,-2.97764548266154e-001°)
1.31825673855640e+002	(7.20599882828279e-003dB,-3.04712020979133e-001°)
1.34896288259165e+002	(7.55255259249827e-003dB,-3.11822154958434e-001°)
1.38038426460288e+002	(7.91545325646078e-003dB,-3.19098798825441e-001°)
1.41253754462275e+002	(8.29547260898728e-003dB,-3.26545895135407e-001°)
1.44543977074592e+002	(8.69341894582407e-003dB,-3.34167482873987e-001°)
1.47910838816820e+002	(9.11013880305914e-003dB,-3.41967700034003e-001°)
1.51356124843620e+002	(9.54651877353323e-003dB,-3.49950786276281e-001°)
1.54881661891247e+002	(1.00034874101512e-002dB,-3.58121085678083e-001°)
1.58489319246110e+002	(1.04820172204860e-002dB,-3.66483049572983e-001°)
1.62181009735892e+002	(1.09831267569672e-002dB,-3.75041239486435e-001°)
