Freq.	V(vout)
7.24435960074988e+000	(-3.02530019183408e+000dB,1.79808163454472e+002°)
7.41310241300916e+000	(-3.02529697322504e+000dB,1.79803694917298e+002°)
7.58577575029182e+000	(-3.02529360292883e+000dB,1.79799122288085e+002°)
7.76247116628690e+000	(-3.02529007379675e+000dB,1.79794443141758e+002°)
7.94328234724279e+000	(-3.02528637834324e+000dB,1.79789654996721e+002°)
8.12830516164097e+000	(-3.02528250872994e+000dB,1.79784755313540e+002°)
8.31763771102669e+000	(-3.02527845674910e+000dB,1.79779741493591e+002°)
8.51138038202374e+000	(-3.02527421380618e+000dB,1.79774610877681e+002°)
8.70963589956078e+000	(-3.02526977090160e+000dB,1.79769360744630e+002°)
8.91250938133743e+000	(-3.02526511861165e+000dB,1.79763988309832e+002°)
9.12010839355907e+000	(-3.02526024706852e+000dB,1.79758490723766e+002°)
9.33254300796988e+000	(-3.02525514593937e+000dB,1.79752865070484e+002°)
9.54992586021433e+000	(-3.02524980440440e+000dB,1.79747108366060e+002°)
9.77237220955808e+000	(-3.02524421113392e+000dB,1.79741217557003e+002°)
9.99999999999997e+000	(-3.02523835426434e+000dB,1.79735189518630e+002°)
1.02329299228075e+001	(-3.02523222137294e+000dB,1.79729021053405e+002°)
1.04712854805090e+001	(-3.02522579945160e+000dB,1.79722708889236e+002°)
1.07151930523760e+001	(-3.02521907487919e+000dB,1.79716249677734e+002°)
1.09647819614318e+001	(-3.02521203339265e+000dB,1.79709639992429e+002°)
1.12201845430196e+001	(-3.02520466005678e+000dB,1.79702876326946e+002°)
1.14815362149688e+001	(-3.02519693923255e+000dB,1.79695955093135e+002°)
1.17489755493953e+001	(-3.02518885454395e+000dB,1.79688872619164e+002°)
1.20226443461741e+001	(-3.02518038884325e+000dB,1.79681625147554e+002°)
1.23026877081238e+001	(-3.02517152417462e+000dB,1.79674208833186e+002°)
1.25892541179416e+001	(-3.02516224173606e+000dB,1.79666619741241e+002°)
1.28824955169313e+001	(-3.02515252183958e+000dB,1.79658853845109e+002°)
1.31825673855640e+001	(-3.02514234386937e+000dB,1.79650907024236e+002°)
1.34896288259165e+001	(-3.02513168623813e+000dB,1.79642775061927e+002°)
1.38038426460288e+001	(-3.02512052634128e+000dB,1.79634453643096e+002°)
1.41253754462275e+001	(-3.02510884050903e+000dB,1.79625938351959e+002°)
1.44543977074592e+001	(-3.02509660395620e+000dB,1.79617224669677e+002°)
1.47910838816820e+001	(-3.02508379072965e+000dB,1.79608307971941e+002°)
1.51356124843620e+001	(-3.02507037365324e+000dB,1.79599183526502e+002°)
1.54881661891248e+001	(-3.02505632427023e+000dB,1.79589846490636e+002°)
1.58489319246111e+001	(-3.02504161278292e+000dB,1.79580291908557e+002°)
1.62181009735892e+001	(-3.02502620798951e+000dB,1.79570514708765e+002°)
1.65958690743755e+001	(-3.02501007721787e+000dB,1.79560509701326e+002°)
1.69824365246174e+001	(-3.02499318625636e+000dB,1.79550271575099e+002°)
1.73780082874937e+001	(-3.02497549928121e+000dB,1.79539794894883e+002°)
1.77827941003892e+001	(-3.02495697878063e+000dB,1.79529074098506e+002°)
1.81970085860998e+001	(-3.02493758547525e+000dB,1.79518103493840e+002°)
1.86208713666286e+001	(-3.02491727823486e+000dB,1.79506877255748e+002°)
1.90546071796324e+001	(-3.02489601399123e+000dB,1.79495389422952e+002°)
1.94984459975804e+001	(-3.02487374764674e+000dB,1.79483633894831e+002°)
1.99526231496887e+001	(-3.02485043197887e+000dB,1.79471604428139e+002°)
2.04173794466952e+001	(-3.02482601754005e+000dB,1.79459294633649e+002°)
2.08929613085403e+001	(-3.02480045255284e+000dB,1.79446697972710e+002°)
2.13796208950222e+001	(-3.02477368280019e+000dB,1.79433807753723e+002°)
2.18776162394954e+001	(-3.02474565151052e+000dB,1.79420617128535e+002°)
2.23872113856833e+001	(-3.02471629923739e+000dB,1.79407119088739e+002°)
2.29086765276776e+001	(-3.02468556373351e+000dB,1.79393306461893e+002°)
2.34422881531991e+001	(-3.02465337981879e+000dB,1.79379171907641e+002°)
2.39883291901948e+001	(-3.02461967924226e+000dB,1.79364707913740e+002°)
2.45470891568502e+001	(-3.02458439053735e+000dB,1.79349906791993e+002°)
2.51188643150957e+001	(-3.02454743887050e+000dB,1.79334760674078e+002°)
2.57039578276885e+001	(-3.02450874588260e+000dB,1.79319261507283e+002°)
2.63026799189537e+001	(-3.02446822952290e+000dB,1.79303401050127e+002°)
2.69153480392690e+001	(-3.02442580387518e+000dB,1.79287170867876e+002°)
2.75422870333815e+001	(-3.02438137897575e+000dB,1.79270562327957e+002°)
2.81838293126444e+001	(-3.02433486062278e+000dB,1.79253566595242e+002°)
2.88403150312659e+001	(-3.02428615017683e+000dB,1.79236174627234e+002°)
2.95120922666637e+001	(-3.02423514435180e+000dB,1.79218377169115e+002°)
3.01995172040200e+001	(-3.02418173499623e+000dB,1.79200164748687e+002°)
3.09029543251358e+001	(-3.02412580886418e+000dB,1.79181527671175e+002°)
3.16227766016837e+001	(-3.02406724737536e+000dB,1.79162456013903e+002°)
3.23593656929627e+001	(-3.02400592636407e+000dB,1.79142939620839e+002°)
3.31131121482590e+001	(-3.02394171581621e+000dB,1.79122968097001e+002°)
3.38844156139201e+001	(-3.02387447959397e+000dB,1.79102530802715e+002°)
3.46736850452530e+001	(-3.02380407514765e+000dB,1.79081616847737e+002°)
3.54813389233574e+001	(-3.02373035321380e+000dB,1.79060215085221e+002°)
3.63078054770100e+001	(-3.02365315749928e+000dB,1.79038314105527e+002°)
3.71535229097171e+001	(-3.02357232435038e+000dB,1.79015902229878e+002°)
3.80189396320559e+001	(-3.02348768240653e+000dB,1.78992967503848e+002°)
3.89045144994279e+001	(-3.02339905223757e+000dB,1.78969497690683e+002°)
3.98107170553495e+001	(-3.02330624596412e+000dB,1.78945480264450e+002°)
4.07380277804111e+001	(-3.02320906686000e+000dB,1.78920902402997e+002°)
4.16869383470333e+001	(-3.02310730893612e+000dB,1.78895750980743e+002°)
4.26579518801591e+001	(-3.02300075650468e+000dB,1.78870012561263e+002°)
4.36515832240164e+001	(-3.02288918372301e+000dB,1.78843673389686e+002°)
4.46683592150961e+001	(-3.02277235411600e+000dB,1.78816719384881e+002°)
4.57088189614873e+001	(-3.02265002007603e+000dB,1.78789136131442e+002°)
4.67735141287196e+001	(-3.02252192233955e+000dB,1.78760908871447e+002°)
4.78630092322636e+001	(-3.02238778943902e+000dB,1.78732022496002e+002°)
4.89778819368444e+001	(-3.02224733712921e+000dB,1.78702461536546e+002°)
5.01187233627270e+001	(-3.02210026778654e+000dB,1.78672210155918e+002°)
5.12861383991362e+001	(-3.02194626978032e+000dB,1.78641252139182e+002°)
5.24807460249770e+001	(-3.02178501681450e+000dB,1.78609570884187e+002°)
5.37031796370250e+001	(-3.02161616723855e+000dB,1.78577149391865e+002°)
5.49540873857622e+001	(-3.02143936332615e+000dB,1.78543970256261e+002°)
5.62341325190346e+001	(-3.02125423051999e+000dB,1.78510015654263e+002°)
5.75439937337154e+001	(-3.02106037664132e+000dB,1.78475267335052e+002°)
5.88843655355586e+001	(-3.02085739106247e+000dB,1.78439706609239e+002°)
6.02559586074355e+001	(-3.02064484384064e+000dB,1.78403314337681e+002°)
6.16595001861479e+001	(-3.02042228481126e+000dB,1.78366070919975e+002°)
