Freq.	V(vout)
3.98107170553496e+000	(-1.49980389666765e-004dB,-1.01354945872559e-002°)
4.07380277804112e+000	(-1.49596674115952e-004dB,-1.03715810441298e-002°)
4.16869383470335e+000	(-1.49194874583699e-004dB,-1.06131666938975e-002°)
4.26579518801592e+000	(-1.48774138807483e-004dB,-1.08603796315684e-002°)
4.36515832240165e+000	(-1.48333574343748e-004dB,-1.11133509360357e-002°)
4.46683592150962e+000	(-1.47872246700963e-004dB,-1.13722147395933e-002°)
4.57088189614874e+000	(-1.47389177325142e-004dB,-1.16371082990691e-002°)
4.67735141287197e+000	(-1.46883341561258e-004dB,-1.19081720686198e-002°)
4.78630092322637e+000	(-1.46353666462290e-004dB,-1.21855497742242e-002°)
4.89778819368445e+000	(-1.45799028509561e-004dB,-1.24693884899034e-002°)
5.01187233627271e+000	(-1.45218251243391e-004dB,-1.27598387157298e-002°)
5.12861383991364e+000	(-1.44610102751997e-004dB,-1.30570544576442e-002°)
5.24807460249771e+000	(-1.43973293051431e-004dB,-1.33611933091382e-002°)
5.37031796370252e+000	(-1.43306471386441e-004dB,-1.36724165348420e-002°)
5.49540873857623e+000	(-1.42608223334622e-004dB,-1.39908891560562e-002°)
5.62341325190348e+000	(-1.41877067808342e-004dB,-1.43167800382813e-002°)
5.75439937337156e+000	(-1.41111453920709e-004dB,-1.46502619807856e-002°)
5.88843655355588e+000	(-1.40309757685684e-004dB,-1.49915118082617e-002°)
6.02559586074356e+000	(-1.39470278603432e-004dB,-1.53407104646226e-002°)
6.16595001861481e+000	(-1.38591236002687e-004dB,-1.56980431089780e-002°)
6.30957344480192e+000	(-1.37670765309820e-004dB,-1.60636992138562e-002°)
6.45654229034654e+000	(-1.36706914066237e-004dB,-1.64378726657125e-002°)
6.60693448007594e+000	(-1.35697637801136e-004dB,-1.68207618677802e-002°)
6.76082975391980e+000	(-1.34640795697905e-004dB,-1.72125698453225e-002°)
6.91830970918935e+000	(-1.33534146015597e-004dB,-1.76135043533379e-002°)
7.07945784384136e+000	(-1.32375341400486e-004dB,-1.80237779867784e-002°)
7.24435960074988e+000	(-1.31161923848549e-004dB,-1.84436082933366e-002°)
7.41310241300916e+000	(-1.29891319508851e-004dB,-1.88732178888661e-002°)
7.58577575029182e+000	(-1.28560833250695e-004dB,-1.93128345754925e-002°)
7.76247116628690e+000	(-1.27167642878800e-004dB,-1.97626914624783e-002°)
7.94328234724279e+000	(-1.25708793242443e-004dB,-2.02230270899142e-002°)
8.12830516164097e+000	(-1.24181189892345e-004dB,-2.06940855552888e-002°)
8.31763771102669e+000	(-1.22581592530256e-004dB,-2.11761166430117e-002°)
8.51138038202374e+000	(-1.20906608167352e-004dB,-2.16693759569720e-002°)
8.70963589956078e+000	(-1.19152683883425e-004dB,-2.21741250561668e-002°)
8.91250938133743e+000	(-1.17316099327682e-004dB,-2.26906315935213e-002°)
9.12010839355907e+000	(-1.15392958807809e-004dB,-2.32191694579301e-002°)
9.33254300796988e+000	(-1.13379183029035e-004dB,-2.37600189196243e-002°)
9.54992586021433e+000	(-1.11270500432091e-004dB,-2.43134667789261e-002°)
9.77237220955808e+000	(-1.09062438157059e-004dB,-2.48798065184831e-002°)
9.99999999999997e+000	(-1.06750312537663e-004dB,-2.54593384590564e-002°)
1.02329299228075e+001	(-1.04329219152998e-004dB,-2.60523699189388e-002°)
1.04712854805090e+001	(-1.01794022453108e-004dB,-2.66592153771109e-002°)
1.07151930523760e+001	(-9.91393448465449e-005dB,-2.72801966401939e-002°)
1.09647819614318e+001	(-9.63595553020103e-005dB,-2.79156430133163e-002°)
1.12201845430196e+001	(-9.34487573869206e-005dB,-2.85658914749602e-002°)
1.14815362149688e+001	(-9.04007767805335e-005dB,-2.92312868559125e-002°)
1.17489755493953e+001	(-8.72091481700254e-005dB,-2.99121820223730e-002°)
1.20226443461741e+001	(-8.38671015189286e-005dB,-3.06089380633686e-002°)
1.23026877081238e+001	(-8.03675477339773e-005dB,-3.13219244825359e-002°)
1.25892541179416e+001	(-7.67030635992304e-005dB,-3.20515193943865e-002°)
1.28824955169313e+001	(-7.28658760392025e-005dB,-3.27981097251754e-002°)
1.31825673855640e+001	(-6.88478456512355e-005dB,-3.35620914184657e-002°)
1.34896288259165e+001	(-6.46404493991233e-005dB,-3.43438696454849e-002°)
1.38038426460288e+001	(-6.02347625519097e-005dB,-3.51438590204355e-002°)
1.41253754462275e+001	(-5.56214397762728e-005dB,-3.59624838208239e-002°)
1.44543977074592e+001	(-5.07906952552291e-005dB,-3.68001782129483e-002°)
1.47910838816820e+001	(-4.57322819720505e-005dB,-3.76573864826920e-002°)
1.51356124843620e+001	(-4.04354699646328e-005dB,-3.85345632716917e-002°)
1.54881661891248e+001	(-3.48890235542062e-005dB,-3.94321738190617e-002°)
1.58489319246111e+001	(-2.90811775031028e-005dB,-4.03506942087763e-002°)
1.62181009735892e+001	(-2.29996120842669e-005dB,-4.12906116228587e-002°)
1.65958690743755e+001	(-1.66314269063312e-005dB,-4.22524246004996e-002°)
1.69824365246174e+001	(-9.96311356181369e-006dB,-4.32366433032617e-002°)
1.73780082874937e+001	(-2.98052699337810e-006dB,-4.42437897865107e-002°)
1.77827941003892e+001	(4.33114455099993e-006dB,-4.52743982772170e-002°)
1.81970085860998e+001	(1.19874109459295e-005dB,-4.63290154582761e-002°)
1.86208713666286e+001	(2.00045130428851e-005dB,-4.74082007595232e-002°)
1.90546071796324e+001	(2.83994571928360e-005dB,-4.85125266555766e-002°)
1.94984459975804e+001	(3.71900512732020e-005dB,-4.96425789706928e-002°)
1.99526231496887e+001	(4.63949425006211e-005dB,-5.07989571907895e-002°)
2.04173794466952e+001	(5.60336569995278e-005dB,-5.19822747828184e-002°)
2.08929613085403e+001	(6.61266411939308e-005dB,-5.31931595216552e-002°)
2.13796208950222e+001	(7.66953052363394e-005dB,-5.44322538246912e-002°)
2.18776162394954e+001	(8.77620683830547e-005dB,-5.57002150943205e-002°)
2.23872113856833e+001	(9.93504066165383e-005dB,-5.69977160684934e-002°)
2.29086765276776e+001	(1.11484902425974e-004dB,-5.83254451795513e-002°)
2.34422881531991e+001	(1.24191296961846e-004dB,-5.96841069215472e-002°)
2.39883291901948e+001	(1.37496544681973e-004dB,-6.10744222262118e-002°)
2.45470891568502e+001	(1.51428870515790e-004dB,-6.24971288478560e-002°)
2.51188643150957e+001	(1.66017829797333e-004dB,-6.39529817573462e-002°)
2.57039578276885e+001	(1.81294370924261e-004dB,-6.54427535454281e-002°)
2.63026799189537e+001	(1.97290901095532e-004dB,-6.69672348355926e-002°)
2.69153480392690e+001	(2.14041355017498e-004dB,-6.85272347067635e-002°)
2.75422870333815e+001	(2.31581266981145e-004dB,-7.01235811259862e-002°)
2.81838293126444e+001	(2.49947846221369e-004dB,-7.17571213914137e-002°)
2.88403150312659e+001	(2.69180055906958e-004dB,-7.34287225858328e-002°)
