Freq.	V(vout)
7.24435960074988e+000	(-3.02527742978184e+000dB,1.79772571252521e+002°)
7.41310241300916e+000	(-3.02527313844196e+000dB,1.79767273612716e+002°)
7.58577575029182e+000	(-3.02526864485989e+000dB,1.79761852564747e+002°)
7.76247116628690e+000	(-3.02526393950447e+000dB,1.79756305233333e+002°)
7.94328234724279e+000	(-3.02525901239541e+000dB,1.79750628676169e+002°)
8.12830516164097e+000	(-3.02525385308204e+000dB,1.79744819882353e+002°)
8.31763771102669e+000	(-3.02524845062123e+000dB,1.79738875770796e+002°)
8.51138038202374e+000	(-3.02524279355413e+000dB,1.79732793188572e+002°)
8.70963589956078e+000	(-3.02523686988188e+000dB,1.79726568909247e+002°)
8.91250938133743e+000	(-3.02523066704018e+000dB,1.79720199631158e+002°)
9.12010839355907e+000	(-3.02522417187263e+000dB,1.79713681975657e+002°)
9.33254300796988e+000	(-3.02521737060280e+000dB,1.79707012485314e+002°)
9.54992586021433e+000	(-3.02521024880510e+000dB,1.79700187622070e+002°)
9.77237220955808e+000	(-3.02520279137409e+000dB,1.79693203765359e+002°)
9.99999999999997e+000	(-3.02519498249250e+000dB,1.79686057210176e+002°)
1.02329299228075e+001	(-3.02518680559769e+000dB,1.79678744165101e+002°)
1.04712854805090e+001	(-3.02517824334650e+000dB,1.79671260750283e+002°)
1.07151930523760e+001	(-3.02516927757850e+000dB,1.79663602995365e+002°)
1.09647819614318e+001	(-3.02515988927745e+000dB,1.79655766837373e+002°)
1.12201845430196e+001	(-3.02515005853101e+000dB,1.79647748118544e+002°)
1.14815362149688e+001	(-3.02513976448849e+000dB,1.79639542584112e+002°)
1.17489755493953e+001	(-3.02512898531664e+000dB,1.79631145880031e+002°)
1.20226443461741e+001	(-3.02511769815337e+000dB,1.79622553550658e+002°)
1.23026877081238e+001	(-3.02510587905925e+000dB,1.79613761036365e+002°)
1.25892541179416e+001	(-3.02509350296679e+000dB,1.79604763671111e+002°)
1.28824955169313e+001	(-3.02508054362722e+000dB,1.79595556679942e+002°)
1.31825673855640e+001	(-3.02506697355490e+000dB,1.79586135176443e+002°)
1.34896288259165e+001	(-3.02505276396903e+000dB,1.79576494160119e+002°)
1.38038426460288e+001	(-3.02503788473260e+000dB,1.79566628513726e+002°)
1.41253754462275e+001	(-3.02502230428851e+000dB,1.79556533000525e+002°)
1.44543977074592e+001	(-3.02500598959267e+000dB,1.79546202261483e+002°)
1.47910838816820e+001	(-3.02498890604396e+000dB,1.79535630812399e+002°)
